시도명,시군구명,지역구분,업종명,이용자 구분,연령대,성별,연월,이용자수,이용횟수,이용금액,연도
제주도,제주시,도심,쇼핑,제주도민,60대이상,여,2018-12,11643,35344,1140045324,2018
제주도,제주시,도심,쇼핑,제주도민,60대이상,남,2018-12,14851,45375,1237465171,2018
제주도,제주시,도심,쇼핑,제주도민,50대,여,2018-12,21410,70176,1952295014,2018
제주도,제주시,도심,쇼핑,제주도민,50대,남,2018-12,27486,91999,2034383049,2018
제주도,제주시,도심,쇼핑,제주도민,40대,여,2018-12,28678,96631,2375472748,2018
제주도,제주시,도심,쇼핑,제주도민,40대,남,2018-12,36807,130319,2529177251,2018
제주도,제주시,도심,쇼핑,제주도민,30대,여,2018-12,23153,72339,1536281893,2018
제주도,제주시,도심,쇼핑,제주도민,30대,남,2018-12,29813,109220,1660109894,2018
제주도,제주시,도심,쇼핑,제주도민,20대미만,여,2018-12,1668,4677,29354205,2018
제주도,제주시,도심,쇼핑,제주도민,20대미만,남,2018-12,1948,7113,36349007,2018
제주도,제주시,도심,쇼핑,제주도민,20대,여,2018-12,19385,64178,780068567,2018
제주도,제주시,도심,쇼핑,제주도민,20대,남,2018-12,21418,80876,783036288,2018
제주도,제주시,도심,쇼핑,내국인관광객,60대이상,여,2018-12,4303,8326,368451592,2018
제주도,제주시,도심,쇼핑,내국인관광객,60대이상,남,2018-12,6989,13782,546073169,2018
제주도,제주시,도심,쇼핑,내국인관광객,50대,여,2018-12,10031,18756,802192882,2018
제주도,제주시,도심,쇼핑,내국인관광객,50대,남,2018-12,17162,36775,1237493484,2018
제주도,제주시,도심,쇼핑,내국인관광객,40대,여,2018-12,12572,24933,974289790,2018
제주도,제주시,도심,쇼핑,내국인관광객,40대,남,2018-12,21145,48451,1365055576,2018
제주도,제주시,도심,쇼핑,내국인관광객,30대,여,2018-12,14893,28317,930574225,2018
제주도,제주시,도심,쇼핑,내국인관광객,30대,남,2018-12,21125,46716,1149478799,2018
제주도,제주시,도심,쇼핑,내국인관광객,20대미만,여,2018-12,476,910,15848600,2018
제주도,제주시,도심,쇼핑,내국인관광객,20대미만,남,2018-12,489,939,13383230,2018
제주도,제주시,도심,쇼핑,내국인관광객,20대,여,2018-12,16635,31254,739091401,2018
제주도,제주시,도심,쇼핑,내국인관광객,20대,남,2018-12,15990,35968,609065038,2018
제주도,제주시,도심,소매,제주도민,60대이상,여,2018-12,5756,8683,922378446,2018
제주도,제주시,도심,소매,제주도민,60대이상,남,2018-12,5386,7670,833806915,2018
제주도,제주시,도심,소매,제주도민,50대,여,2018-12,8675,13509,1468331810,2018
제주도,제주시,도심,소매,제주도민,50대,남,2018-12,7600,10998,1149335538,2018
제주도,제주시,도심,소매,제주도민,40대,여,2018-12,10234,16491,1491994178,2018
제주도,제주시,도심,소매,제주도민,40대,남,2018-12,8451,13173,1225929587,2018
제주도,제주시,도심,소매,제주도민,30대,여,2018-12,6865,10606,750155871,2018
제주도,제주시,도심,소매,제주도민,30대,남,2018-12,5594,8102,642098196,2018
제주도,제주시,도심,소매,제주도민,20대미만,여,2018-12,449,701,19917133,2018
제주도,제주시,도심,소매,제주도민,20대미만,남,2018-12,294,391,14259627,2018
제주도,제주시,도심,소매,제주도민,20대,여,2018-12,4898,7142,399693376,2018
제주도,제주시,도심,소매,제주도민,20대,남,2018-12,3511,5122,342044113,2018
제주도,제주시,도심,소매,내국인관광객,60대이상,여,2018-12,2140,2622,166497679,2018
제주도,제주시,도심,소매,내국인관광객,60대이상,남,2018-12,2664,3215,217688440,2018
제주도,제주시,도심,소매,내국인관광객,50대,여,2018-12,4187,5163,292748713,2018
제주도,제주시,도심,소매,내국인관광객,50대,남,2018-12,5518,6746,347418012,2018
제주도,제주시,도심,소매,내국인관광객,40대,여,2018-12,4970,6250,292460152,2018
제주도,제주시,도심,소매,내국인관광객,40대,남,2018-12,5899,7438,357681000,2018
제주도,제주시,도심,소매,내국인관광객,30대,여,2018-12,6053,7661,267752588,2018
제주도,제주시,도심,소매,내국인관광객,30대,남,2018-12,6219,7743,321956855,2018
제주도,제주시,도심,소매,내국인관광객,20대미만,여,2018-12,244,312,6654800,2018
제주도,제주시,도심,소매,내국인관광객,20대미만,남,2018-12,224,273,12858450,2018
제주도,제주시,도심,소매,내국인관광객,20대,여,2018-12,7623,9729,267383947,2018
제주도,제주시,도심,소매,내국인관광객,20대,남,2018-12,4694,5929,183468149,2018
제주도,제주시,도심,문화/레져,제주도민,60대이상,여,2018-12,723,954,43761315,2018
제주도,제주시,도심,문화/레져,제주도민,60대이상,남,2018-12,1481,2173,114074243,2018
제주도,제주시,도심,문화/레져,제주도민,50대,여,2018-12,2330,3511,121853843,2018
제주도,제주시,도심,문화/레져,제주도민,50대,남,2018-12,3445,5216,258571557,2018
제주도,제주시,도심,문화/레져,제주도민,40대,여,2018-12,5783,8951,255991374,2018
제주도,제주시,도심,문화/레져,제주도민,40대,남,2018-12,5755,8993,293794492,2018
제주도,제주시,도심,문화/레져,제주도민,30대,여,2018-12,4642,6932,167153521,2018
제주도,제주시,도심,문화/레져,제주도민,30대,남,2018-12,4312,7467,177800262,2018
제주도,제주시,도심,문화/레져,제주도민,20대미만,여,2018-12,652,1105,10999380,2018
제주도,제주시,도심,문화/레져,제주도민,20대미만,남,2018-12,979,3725,29304293,2018
제주도,제주시,도심,문화/레져,제주도민,20대,여,2018-12,4373,7516,115637375,2018
제주도,제주시,도심,문화/레져,제주도민,20대,남,2018-12,5696,18259,174029455,2018
제주도,제주시,도심,문화/레져,내국인관광객,60대이상,여,2018-12,191,259,8986910,2018
제주도,제주시,도심,문화/레져,내국인관광객,60대이상,남,2018-12,365,469,27837378,2018
제주도,제주시,도심,문화/레져,내국인관광객,50대,여,2018-12,450,593,22504611,2018
제주도,제주시,도심,문화/레져,내국인관광객,50대,남,2018-12,980,1356,70782520,2018
제주도,제주시,도심,문화/레져,내국인관광객,40대,여,2018-12,864,1213,29942292,2018
제주도,제주시,도심,문화/레져,내국인관광객,40대,남,2018-12,1380,2254,68461524,2018
제주도,제주시,도심,문화/레져,내국인관광객,30대,여,2018-12,956,1355,28549214,2018
제주도,제주시,도심,문화/레져,내국인관광객,30대,남,2018-12,1498,2543,53817587,2018
